item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD00564,PROD0315,1,10734,49
ITEM00002,ORD00652,PROD0003,1,54152,18
ITEM00003,ORD00483,PROD0475,5,28732,11
ITEM00004,ORD00066,PROD0135,2,24503,10
ITEM00005,ORD00624,PROD0020,4,26456,78
ITEM00006,ORD00672,PROD0267,3,46835,76
ITEM00007,ORD00059,PROD0485,2,42162,63
ITEM00008,ORD00450,PROD0006,2,55942,84
ITEM00009,ORD00531,PROD0147,2,2402,100
ITEM00010,ORD00614,PROD0262,5,45973,29
ITEM00011,ORD00630,PROD0087,1,23775,30
ITEM00012,ORD00671,PROD0001,2,5891,35
ITEM00013,ORD00410,PROD0181,4,26771,75
ITEM00014,ORD00206,PROD0266,1,48495,90
ITEM00015,ORD00071,PROD0471,1,36218,36
ITEM00016,ORD00573,PROD0469,5,23012,44
ITEM00017,ORD00284,PROD0116,5,12948,58
ITEM00018,ORD00414,PROD0295,1,17311,22
ITEM00019,ORD00417,PROD0260,1,36810,9
ITEM00020,ORD00516,PROD0151,3,7868,65
ITEM00021,ORD00264,PROD0449,5,53490,73
ITEM00022,ORD00257,PROD0356,4,24912,72
ITEM00023,ORD00496,PROD0395,2,49841,43
ITEM00024,ORD00470,PROD0349,4,58954,75
ITEM00025,ORD00029,PROD0247,1,17096,8
ITEM00026,ORD00392,PROD0325,2,44562,89
ITEM00027,ORD00236,PROD0410,3,27228,45
ITEM00028,ORD00529,PROD0275,1,46128,33
ITEM00029,ORD00255,PROD0148,1,26344,86
ITEM00030,ORD00351,PROD0039,5,11897,60
ITEM00031,ORD00322,PROD0182,2,58809,73
ITEM00032,ORD00276,PROD0094,2,32902,94
ITEM00033,ORD00205,PROD0121,2,57396,33
ITEM00034,ORD00212,PROD0118,2,54918,31
ITEM00035,ORD00634,PROD0183,2,51248,13
ITEM00036,ORD00123,PROD0472,1,44490,84
ITEM00037,ORD00505,PROD0315,1,50285,69
ITEM00038,ORD00044,PROD0435,4,24526,79
ITEM00039,ORD00323,PROD0253,5,57135,35
ITEM00040,ORD00503,PROD0094,5,18567,50
ITEM00041,ORD00228,PROD0385,5,8604,6
ITEM00042,ORD00539,PROD0410,4,31547,69
ITEM00043,ORD00034,PROD0258,3,26002,87
ITEM00044,ORD00179,PROD0235,1,45960,66
ITEM00045,ORD00472,PROD0162,1,974,86
ITEM00046,ORD00216,PROD0195,5,6802,41
ITEM00047,ORD00371,PROD0314,3,12465,70
ITEM00048,ORD00270,PROD0122,3,31090,78
ITEM00049,ORD00352,PROD0188,2,32887,54
ITEM00050,ORD00216,PROD0215,3,24125,51
ITEM00051,ORD00287,PROD0231,-2,37647,16
ITEM00052,ORD00590,PROD0352,2,53558,12
ITEM00053,ORD00277,PROD0412,2,36594,55
ITEM00054,ORD00391,PROD0101,2,52631,94
ITEM00055,ORD00154,PROD0243,1,11774,53
ITEM00056,ORD00512,PROD0069,5,35195,92
ITEM00057,ORD00324,PROD0403,4,19863,32
ITEM00058,ORD00576,PROD0440,5,3326,50
ITEM00059,ORD00102,PROD0354,2,4134,27
ITEM00060,ORD00261,PROD0244,1,29681,95
ITEM00061,ORD00343,PROD0134,3,23813,71
ITEM00062,ORD00571,PROD0478,3,22753,2
ITEM00063,ORD00422,PROD0063,3,57043,86
ITEM00064,ORD00621,PROD0102,5,37941,83
ITEM00065,ORD00665,PROD0276,2,51338,36
ITEM00066,ORD00364,PROD0167,5,32148,99
ITEM00067,ORD00458,PROD0456,1,25173,78
ITEM00068,ORD00294,PROD0238,2,57102,21
ITEM00069,ORD00656,PROD0414,3,27844,80
ITEM00070,ORD00628,PROD0293,4,55833,9
ITEM00071,ORD00082,PROD0083,3,15156,40
ITEM00072,ORD00325,PROD0335,3,46758,34
ITEM00073,ORD00620,PROD0331,4,17976,56
ITEM00074,ORD00372,PROD0383,5,34340,57
ITEM00075,ORD00424,PROD0086,2,56181,2
ITEM00076,ORD00129,PROD0373,2,43586,32
ITEM00077,ORD00082,PROD0108,2,26220,13
ITEM00078,ORD00098,PROD0033,4,36142,6
ITEM00079,ORD00027,PROD0395,4,34539,97
ITEM00080,ORD00086,PROD0054,3,40707,19
ITEM00081,ORD00087,PROD0336,4,20474,29
ITEM00082,ORD00254,PROD0378,3,29242,80
ITEM00083,ORD00130,PROD0068,5,55153,21
ITEM00084,ORD00030,PROD0018,3,56585,41
ITEM00085,ORD00488,PROD0240,5,18052,70
ITEM00086,ORD00456,PROD0070,-4,11802,75
ITEM00087,ORD00612,PROD0234,5,28706,67
ITEM00088,ORD00656,PROD0328,5,20493,44
