order_id,customer_id,order_date,status,region_code
ORD00001,CUST0055,2025-01-19 13:13:20.248216,SHIPPED,EAST
ORD00002,CUST0004,2025-05-06 05:17:58.825047,CANCELLED,EAST
ORD00003,CUST0431,2024-09-28 14:06:12.044264,RETURNED,WEST
ORD00004,CUST0412,2024-09-03 16:38:48.924030,DELIVERED,WEST
ORD00005,CUST0172,2025-02-12 18:17:33.284518,CANCELLED,SOUTH
ORD00006,CUST0154,2026-06-04 14:13:53.045057,DELIVERED,SOUTH
ORD00007,UNKNOWN,2026-02-19 08:24:31.744208,DELIVERED,SOUTH
ORD00008,CUST0494,2026-06-11 16:10:47.747189,CANCELLED,EAST
ORD00009,CUST0150,2026-04-13 19:12:15.212897,CANCELLED,SOUTH
ORD00010,CUST0167,2026-02-26 19:19:11.481256,CANCELLED,EAST
ORD00011,CUST0419,2025-09-05 18:22:27.720968,CANCELLED,EAST
ORD00012,CUST0059,2025-12-01 21:50:57.611597,RETURNED,SOUTH
ORD00013,CUST0304,2026-06-18 12:01:52.949547,RETURNED,SOUTH
ORD00014,CUST0350,2025-08-28 04:48:44.907521,RETURNED,NORTH
ORD00015,CUST0488,2026-01-26 06:18:21.859525,CANCELLED,SOUTH
ORD00016,CUST0225,2026-01-17 03:16:07.966541,DELIVERED,NORTH
ORD00017,CUST0420,2026-06-14 23:35:12.374639,CANCELLED,WEST
ORD00018,CUST0072,2025-06-12 23:55:16.497023,DELIVERED,SOUTH
ORD00019,CUST0130,2025-06-14 08:44:25.682198,SHIPPED,WEST
ORD00020,CUST0405,2025-09-14 11:34:17.959003,CANCELLED,NORTH
ORD00021,CUST0230,2024-08-01 19:06:36.482871,RETURNED,WEST
ORD00022,CUST0299,2024-10-05 17:58:15.187479,CANCELLED,WEST
ORD00023,CUST0279,2024-08-31 03:56:22.938725,PLACED,EAST
ORD00024,CUST0360,2025-10-18 16:39:55.117658,RETURNED,NORTH
ORD00025,CUST0056,2026-07-09 01:24:48.741267,SHIPPED,EAST
ORD00026,CUST0086,2025-11-19 06:55:27.161321,RETURNED,NORTH
ORD00027,CUST0289,2024-12-27 18:38:08.363803,CANCELLED,EAST
ORD00028,CUST0495,2025-02-28 10:50:59.317135,CANCELLED,NORTH
ORD00029,CUST0006,2026-06-10 18:01:33.621781,PLACED,EAST
ORD00030,CUST0114,2025-07-25 02:42:53.450439,RETURNED,SOUTH
ORD00031,CUST0229,2024-07-19 22:04:23.388019,DELIVERED,WEST
ORD00032,CUST0238,2026-03-12 16:56:21.623805,RETURNED,SOUTH
ORD00033,CUST0177,2025-01-10 03:56:38.677260,PLACED,WEST
ORD00034,CUST0054,2024-09-18 18:12:27.066271,DELIVERED,WEST
ORD00035,CUST0472,2025-11-16 22:33:33.607267,PLACED,NORTH
ORD00036,CUST0426,2026-03-04 14:17:53.425195,SHIPPED,EAST
ORD00037,CUST0160,2024-09-06 08:30:41.835946,DELIVERED,WEST
ORD00038,CUST0402,2026-05-24 04:24:09.503773,SHIPPED,WEST
ORD00039,CUST0179,2025-06-25 22:21:08.308112,CANCELLED,NORTH
ORD00040,CUST0225,2025-03-28 01:40:05.007182,CANCELLED,EAST
ORD00041,UNKNOWN,2026-04-27 02:20:02.784669,DELIVERED,NORTH
ORD00042,CUST0415,2025-01-25 08:55:05.862723,PLACED,NORTH
ORD00043,CUST0435,2026-06-04 16:01:51.257071,DELIVERED,NORTH
ORD00044,CUST0347,2025-11-23 19:31:12.989510,SHIPPED,SOUTH
ORD00045,CUST0265,2026-05-08 12:01:20.204863,SHIPPED,SOUTH
ORD00046,CUST0170,2025-07-12 07:49:39.896062,RETURNED,WEST
ORD00047,CUST0491,2024-12-05 16:04:07.524466,CANCELLED,SOUTH
ORD00048,UNKNOWN,2026-01-01 00:48:00.717190,CANCELLED,SOUTH
ORD00049,CUST0096,2026-04-11 08:06:48.236502,CANCELLED,WEST
ORD00050,CUST0015,2024-12-10 20:45:16.421253,RETURNED,SOUTH
ORD00051,CUST0231,2024-12-07 22:25:00.530620,RETURNED,WEST
ORD00052,CUST0200,2025-01-11 05:09:04.778939,PLACED,SOUTH
ORD00053,CUST0106,2025-10-07 16:33:17.075798,DELIVERED,NORTH
ORD00054,CUST0296,2024-11-03 18:27:00.943144,PLACED,SOUTH
ORD00055,CUST0188,2024-09-28 18:02:10.523767,DELIVERED,SOUTH
ORD00056,CUST0235,2026-05-15 23:54:26.748013,PLACED,EAST
ORD00057,CUST0344,2025-11-18 11:37:28.620655,CANCELLED,EAST
ORD00058,CUST0306,2025-11-09 10:26:35.991204,CANCELLED,WEST
ORD00059,CUST0301,2025-10-04 04:55:50.616911,PLACED,EAST
ORD00060,CUST0181,2026-01-22 01:58:24.715334,CANCELLED,SOUTH
ORD00061,CUST0417,2025-08-12 08:28:20.272567,DELIVERED,NORTH
ORD00062,CUST0345,2024-08-12 16:32:51.665569,SHIPPED,EAST
ORD00063,CUST0061,2025-06-30 02:55:26.762704,SHIPPED,EAST
ORD00064,CUST0060,2025-10-09 04:51:18.294106,SHIPPED,EAST
ORD00065,CUST0356,2025-07-07 11:05:09.642704,SHIPPED,WEST
ORD00066,CUST0215,2026-07-02 14:29:33.668201,RETURNED,SOUTH
ORD00067,CUST0295,2026-04-29 01:22:49.069441,CANCELLED,WEST
ORD00068,CUST0096,2026-04-08 10:26:56.581663,CANCELLED,SOUTH
ORD00069,CUST0285,2025-07-06 08:10:28.816070,SHIPPED,WEST
ORD00070,CUST0148,2026-07-01 21:32:45.242119,SHIPPED,SOUTH
ORD00071,CUST0162,2026-05-12 22:36:10.396348,CANCELLED,NORTH
ORD00072,CUST0444,2025-02-02 13:06:38.674807,DELIVERED,NORTH
ORD00073,CUST0249,2024-12-22 01:14:05.646310,SHIPPED,SOUTH
ORD00074,CUST0418,2025-09-07 01:25:41.091912,CANCELLED,WEST
ORD00075,CUST0210,2024-08-21 08:54:38.092486,CANCELLED,WEST
ORD00076,CUST0364,2026-02-16 16:01:38.576249,CANCELLED,WEST
ORD00077,CUST0086,2025-06-27 05:17:19.762292,PLACED,NORTH
ORD00078,CUST0408,2025-08-11 20:05:41.592607,SHIPPED,EAST
ORD00079,CUST0017,2025-07-14 00:00:00.000000,DELIVERED,SOUTH
ORD00080,UNKNOWN,2025-04-26 10:04:00.986371,DELIVERED,SOUTH
ORD00081,CUST0400,2025-11-26 04:10:13.950314,CANCELLED,WEST
