product_id,product_name,category,subcategory,cost_price
PROD0001,Commodi Chair,Home,Chair,48785
PROD0002,iD jEANS,Clothing,Jeans,14280
PROD0003,Nulla Comics,Books,Comics,47586
PROD0004,Modi Chair,Home,Chair,12821
PROD0005,Nam Table,Home,Table,23750
PROD0006,Ut Jacket,Clothing,Jacket,1027
PROD0007,Aliquam Jacket,Clothing,Jacket,3082
PROD0008,Pariatur Headphones,Electronics,Headphones,45805
PROD0009,Dolore Shoes,Clothing,Shoes,6823
PROD0010,Quibusdam Headphones,Electronics,Headphones,30862
PROD0011,Est Biography,Books,Biography,22428
PROD0012,dELENITI sHIRT,Clothing,Shirt,16646
PROD0013,Mollitia Novel,Books,Novel,4382
PROD0014,Quisquam Biography,Books,Biography,4955
PROD0015,Impedit Laptop,Electronics,Laptop,9877
PROD0016,Tempora Chair,Home,Chair,16365
PROD0017,Dicta Camera,Electronics,Camera,39835
PROD0018,In Shoes,Clothing,Shoes,29624
PROD0019,Veritatis Comics,Books,Comics,38669
PROD0020,Tenetur Comics,Books,Comics,37365
PROD0021,Minima Mobile,Electronics,Mobile,13717
PROD0022,Accusamus Jacket,Clothing,Jacket,43381
PROD0023,Quod Laptop,Electronics,Laptop,15819
PROD0024,Quos Shirt,Clothing,Shirt,10358
PROD0025,Dicta Camera,Electronics,Camera,29624
PROD0026,Cupiditate Comics,Books,Comics,2239
PROD0027,Animi Jacket,Clothing,Jacket,46431
PROD0028,Ab Lamp,Home,Lamp,4764
PROD0029,Rem Jacket,Clothing,Jacket,41063
PROD0030,Saepe Shoes,Clothing,Shoes,7621
PROD0031,Mollitia Jeans,Clothing,Jeans,17508
PROD0032,Quidem Shirt,Clothing,Shirt,4008
PROD0033,Quo Jacket,Clothing,Jacket,39096
PROD0034,Blanditiis Lamp,Home,Lamp,8249
PROD0035,Inventore Comics,Books,Comics,45957
PROD0036,Eos Comics,Books,Comics,32898
PROD0037,Laborum Biography,Books,Biography,5371
PROD0038,Error Camera,Electronics,Camera,48238
PROD0039,Neque Sofa,Home,Sofa,1795
PROD0040,Tenetur Laptop,Electronics,Laptop,44290
PROD0041,Quam Headphones,Electronics,Headphones,37864
PROD0042,Dicta Laptop,Electronics,Laptop,30934
PROD0043,Dolorem Comics,Books,Comics,11994
PROD0044,Ea Biography,Books,Biography,6079
PROD0045,Est Comics,Books,Comics,26861
PROD0046,Sint Sofa,Home,Sofa,44017
PROD0047,Explicabo Laptop,Electronics,Laptop,21714
PROD0048,Earum Biography,Books,Biography,18988
PROD0049,Cum Novel,Books,Novel,29907
PROD0050,Ducimus Headphones,Electronics,Headphones,16641
PROD0051,Velit Chair,Home,Chair,26588
PROD0052,Reiciendis Camera,Electronics,Camera,27182
PROD0053,Asperiores Laptop,Electronics,Laptop,34076
PROD0054,Quo Lamp,Home,Lamp,41086
PROD0055,Officiis Novel,Books,Novel,13440
PROD0056,Tenetur Table,Home,Table,18976
PROD0057,Quo Biography,Books,Biography,8057
