customer_id,location,total_orders
CUST_17,Online,487
CUST_12,Online,498
CUST_22,Online,501
CUST_13,Online,534
CUST_04,Online,474
CUST_10,In-store,501
CUST_25,In-store,476
CUST_23,Online,513
CUST_01,In-store,507
CUST_16,In-store,515
CUST_08,In-store,533
CUST_14,In-store,484
CUST_19,Online,487
CUST_02,In-store,488
CUST_07,Online,491
CUST_11,In-store,503
CUST_09,In-store,519
CUST_06,In-store,481
CUST_15,In-store,519
CUST_05,Online,544
CUST_21,In-store,498
CUST_20,Online,507
CUST_24,In-store,543
CUST_03,In-store,465
CUST_18,In-store,507
